Team,Team ID
Sentinels,2
KRÜ Esports,2355
G2 Esports,11058
MIBR,7386
100 Thieves,120
Evil Geniuses,5248
ENVY,427
LOUD,6961
Cloud9,188
LEVIATÁN,2359
FURIA,2406
NRG,1034
FNATIC,2593
Eternal Fire,6392
Team Liquid,474
Karmine Corp,8877
Team Vitality,2059
GIANTX,14419
Gentle Mates,12694
FUT Esports,1184
Team Heretics,1001
Natus Vincere,4915
BBL Esports,397
PCIFIC Esports,3478
Gen.G,17
Global Esports,918
T1,14
VARREL,11229
Nongshim RedForce,11060
Paper Rex,624
FULL SENSE,4050
DetonatioN FocusMe,278
Team Secret,6199
Kiwoom DRX,8185
Rex Regum Qeon,878
ZETA DIVISION,5448
Titan Esports Club,14137
All Gamers,1119
Nova Esports,12064
EDward Gaming,1120
JDG Esports,13576
FunPlus Phoenix,11328
Dragon Ranger Gaming,11981
Xi Lai Gaming,13581
Wolves Esports,13790
Trace Esports,12685
Bilibili Gaming,12010
TYLOO,731
ULF Esports,18019
