Abbreviated,Full Name
SEN,Sentinels
KRÜ,KRÜ Esports
G2,G2 Esports
MIBR,MIBR
100T,100 Thieves
EG,Evil Geniuses
ENVY,ENVY
LOUD,LOUD
C9,Cloud9
LEV,LEVIATÁN
FUR,FURIA
NRG,NRG
FNC,FNATIC
EF,Eternal Fire
TL,Team Liquid
KC,Karmine Corp
VIT,Team Vitality
GX,GIANTX
M8,Gentle Mates
FUT,FUT Esports
TH,Team Heretics
NAVI,Natus Vincere
BBL,BBL Esports
PCF,PCIFIC Esports
GEN,Gen.G
GE,Global Esports
T1,T1
VL,VARREL
NS,Nongshim RedForce
PRX,Paper Rex
FS,FULL SENSE
DFM,DetonatioN FocusMe
TS,Team Secret
KRX,Kiwoom DRX
RRQ,Rex Regum Qeon
ZETA,ZETA DIVISION
TEC,Titan Esports Club
AG,All Gamers
NOVA,Nova Esports
EDG,EDward Gaming
JDG,JDG Esports
FPX,FunPlus Phoenix
DRG,Dragon Ranger Gaming
XLG,Xi Lai Gaming
WOL,Wolves Esports
TE,Trace Esports
BLG,Bilibili Gaming
TYL,TYLOO
ULF,ULF Esports
